Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
ARIA,"ARIAD Pharmaceuticals, Inc.",23.5,3905808664,n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aria
ARBA,"Ariba, Inc.",44.7,4565032200,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/arba
ARKR,Ark Restaurants Corp.,16.4,53215458,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/arkr
ABFS,Arkansas Best Corporation,8.38,214628099.1,n/a,1992,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/abfs
ARMH,"ARM Holdings, plc",28.51,13087020566,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/armh
ARTX,Arotech Corporation,0.92,14664561.72,n/a,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artx
ARQL,"ArQule, Inc.",5.49,341912994.7,n/a,1996,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arql
ARRY,Array BioPharma Inc.,5.29,487315032.8,n/a,2000,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry
ARRS,Arris Group Inc,14.05,1591112313,n/a,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
AROW,Arrow Financial Corporation,24.98,299822125.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/arow
ARWR,Arrowhead Research Corporation,2.66,30086770.56,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/arwr
ARTNA,Artesian Resources Corporation,22.64,196105008.5,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/artna
